ncode,narou_title,is_book,amazon_asin_vol1,amazon_url_vol1,amazon_title_vol1,amazon_rating,amazon_review_count,match_score,checked_at
N1219GV,魔王と勇者の戦いの裏で　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～,True,B09V2MTMV5,https://www.amazon.co.jp/dp/B09V2MTMV5,魔王と勇者の戦いの裏で 1　～ゲーム世界に転生したけど友人の勇者が魔王討伐に旅立ったあとの国内お留守番（内政と防衛戦）が俺のお仕事です～ (オーバーラップ文庫),,,0.9041,2026-06-23
N7187MA,「お姉様はいつも楽をしてずるい」と泣いた妹へ。あなたの望み通り聖女の場を譲りますーあら、どうして1日で国が崩壊しているの？ー,False,,,,,,0.0,2026-06-23
N8054JT,死に戻りの処方箋,False,,,,,,0.0,2026-06-23
N1983MF,昭和の話,False,,,,,,0.0,2026-06-23
N0171MF,思いがけない幸運なモトサヤに恵まれました,False,,,,,,0.0,2026-06-23
N9846KR,大事なものは決まってる,False,,,,,,0.0,2026-06-23
N7567MA,「この人が彼氏です！」と学園アイドルに言われたモブ、逃げられなくなる,False,,,,,,0.0,2026-06-23
N2828MH,【後日談追加】話が違う？いいえ、それは私のセリフですよ,False,,,,,,0.0,2026-06-23
N7351MC,ハムスターになった王子は自らの愚かさを知る,False,,,,,,0.0,2026-06-23
N4628LR,『彼を解放して！』とおっしゃいましたが、何から解放されたいのですか？,False,,,,,,0.0,2026-06-23
N0223LY,【連載版】愛されない当て馬妻に転生したので、読者として推しの物語を堪能することにした。,False,,,,,,0.0,2026-06-23
N1853HY,【書籍＆コミカライズ化】ハイブルク家三男は小悪魔ショタです,False,,,,,,0.0,2026-06-23
N5128BY,休暇だと思って楽しみます。(書籍版「穏やか貴族の休暇のすすめ。」),True,4864727430,https://www.amazon.co.jp/dp/4864727430,穏やか貴族の休暇のすすめ。２,,,0.5532,2026-06-23
N6895GP,片田舎のおっさん、剣聖になる　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～,True,B08ZXYX3YZ,https://www.amazon.co.jp/dp/B08ZXYX3YZ,片田舎のおっさん、剣聖になる　1　～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～ (デジタル版SQEXノベル),,,0.8595,2026-06-23
N8062GX,【コミカライズ＆電子書籍化決定】とある令嬢の逆転劇〜お覚悟はよろしくて？〜,False,,,,,,0.0,2026-06-23
N6450MI,泥まみれの妻が恥でしたら、どうぞ薔薇だけで冬をお越しください,False,,,,,,0.0,2026-06-23
N4218CW,新しいゲーム始めました。～使命もないのに最強です？～,True,B0DK4Y1M4P,https://www.amazon.co.jp/dp/B0DK4Y1M4P,【合本版1-10巻】新しいゲーム始めました。～使命もないのに最強です？～,,,0.8387,2026-06-23
N3144MC,Fランク荷物持ちのバズりキャンプ飯 〜無能と追放され最深部でヤケクソ配信したら、ラスボス神獣が餌付けされました〜,False,,,,,,0.0,2026-06-23
N8498KQ,後世で何故か『4賢人』の1人と称えられるチンピラ冒険者,False,,,,,,0.0,2026-06-23
N1784GA,【アニメ化】ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する,True,B096RNH7JZ,https://www.amazon.co.jp/dp/B096RNH7JZ,ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する 1 (ガルドコミックス),,,0.7711,2026-06-23
N0245MG,婚約式の誓約書から私の名前を消したのですね。では、王宮記録官として正式に無効処理いたします,False,,,,,,0.0,2026-06-23
N3572KD,十五年の石化から目覚めた元王女は、夫と娘から溺愛される,True,B0FYDGJ6LL,https://www.amazon.co.jp/dp/B0FYDGJ6LL,十五年の石化から目覚めた元王女は、夫と娘から溺愛される（ノベル） (Mノベルスｆ),,,0.7941,2026-06-23
N1174MA,リストラされたので底辺ダンジョンでひっそり配信してたら、なぜか世界中にバレた,False,,,,,,0.0,2026-06-23
N5402LW,【四章完結！】『病弱だった前世の未練をダンジョンで晴らす～レベルリセットの「倦怠感」に耐え、全初級職を制覇した俺。単独ダンジョンの隠し報酬とルート統合で、世界唯一の最上級職【魔王】へ～』,False,,,,,,0.0,2026-06-23
N6176ME,病弱幼なじみには「俺がいないとダメなんだ」なら、一生背負わせてあげましょう。,False,,,,,,0.0,2026-06-23
N0645LW,[26万PV達成！感謝]長慶さんに転生してしまった！,False,,,,,,0.0,2026-06-23
N7566MC,これが貴族社会というものだ。,False,,,,,,0.0,2026-06-23
N7558MC,【後日談追加】「リリア様くらいお年を召せば、恥も噂も気にならなくなるのですね（笑）」,False,,,,,,0.0,2026-06-23
N4620JW,【書籍化＆コミカライズ】記憶を失ったらあなたへの恋心も消えました。,False,,,,,,0.0,2026-06-23
N3715MG,酒に弱いと聞く旦那様を酔わせて筋肉を堪能するつもりでした。,False,,,,,,0.0,2026-06-23
N0411MG,「価値なし」と王子に婚約破棄されそうになった子爵令嬢ですが、見つけたのは王家を裁く建国契約でした,False,,,,,,0.0,2026-06-23
N2339KU,ピンクブロンドのヒロイン何故か色々巻き込まれる,False,,,,,,0.0,2026-06-23
N7793MF,冷遇後の溺愛？そんなものはクソ喰らえ,False,,,,,,0.0,2026-06-23
N4719MH,釘は刺しましたからね？,False,,,,,,0.0,2026-06-23
N1749LZ,悪役令嬢のお父様,False,,,,,,0.0,2026-06-23
N5120KR,とある平凡だった男が捧げる“真実の愛”,False,,,,,,0.0,2026-06-23
